order_id,product_id,quantity,unit_price,discount_amount
1,103,3,748.57,0
1,457,1,1656.1,0
1,1127,3,12623.41,5680.53
2,2419,2,2746.84,0
3,896,1,1673.73,83.69
4,2299,1,1524.48,152.45
5,903,1,4066.35,203.32
5,1719,1,21244.47,2124.45
5,2233,2,15733.66,1573.37
6,637,2,8374.58,0
6,1139,1,2481.37,496.27
7,397,2,25864.45,2586.45
7,1471,1,6295.33,629.53
8,323,2,15404.43,1540.44
8,512,3,1620.76,0
8,1551,3,478.05,71.71
9,188,1,20568.12,3085.22
9,285,2,47142.89,18857.16
9,934,2,16140.47,0
10,667,2,4343.74,868.75
10,1495,2,10995.96,0
10,1517,3,2470.43,370.56
11,701,1,42302.54,2115.13
11,1003,3,1323.8,198.57
11,2188,2,29806.18,11922.47
12,1329,1,17665.47,0
13,1293,2,124075.84,0
14,2324,3,1095.27,0
15,1621,1,46348.24,4634.82
15,1880,3,17955.01,0
15,2045,1,13699.21,0
16,1636,1,590.04,59
16,1755,2,433.33,0
16,2391,1,19459.76,972.99
17,627,3,4066.81,0
18,261,3,605.6,272.52
18,1730,2,391.58,0
18,2443,2,473.96,47.4
19,470,3,1251.19,563.04
20,457,2,1656.1,0
20,1394,2,18511.9,0
21,732,3,1935.06,290.26
21,1079,3,4223.4,1900.53
21,2051,3,9369.3,0
22,627,2,4066.81,813.36
23,3,1,779.46,116.92
23,2173,2,58860.28,5886.03
23,2454,2,1342.67,0
24,2324,1,1095.27,0
25,284,1,29512.88,0
25,2182,2,4951.66,1485.5
26,1086,3,3506.12,1577.75
27,868,3,275.26,41.29
27,2209,3,24455.53,0
28,1530,2,2143.69,0
28,1795,1,2446.76,0
28,2120,1,2718.3,135.91
29,2411,1,355.37,0
30,242,1,31957.33,4793.6
30,277,2,601.18,60.12
30,938,1,15349.71,767.49
31,2209,1,24455.53,2445.55
32,996,3,2772.93,0
32,1937,1,4676.46,0
32,2361,2,1872.62,374.52
33,1684,3,8566.27,0
33,1913,3,446.04,267.62
34,249,2,29571.9,5914.38
35,1019,1,2461.39,0
36,575,1,4086.64,0
