customer_id,product_id,added_date,moved_to_cart
2641,87,2025-12-01 19:45:18,True
939,1733,2025-08-09 20:38:33,False
2494,1,2024-10-05 14:55:27,True
6701,1259,2024-01-01 20:54:58,False
1405,78,2026-06-22 08:17:40,False
3296,169,2025-03-01 11:40:35,True
7701,999,2023-07-31 11:08:35,True
8285,501,2023-07-30 10:58:44,False
519,140,2024-06-08 16:58:39,False
9238,1714,2024-02-24 16:22:55,False
5765,1355,2023-12-16 14:29:59,False
7671,9,2024-11-10 11:48:04,True
668,1130,2025-06-15 18:47:14,False
8741,392,2024-12-03 00:21:04,True
2194,1776,2024-06-02 22:01:21,False
4877,32,2025-08-24 08:35:25,False
1845,1182,2026-03-08 03:00:15,False
4208,130,2025-07-19 20:42:25,False
7879,52,2025-12-19 18:49:08,False
7824,149,2023-08-17 21:11:41,True
5341,2135,2023-12-05 08:06:37,False
7517,1385,2025-04-15 04:05:47,False
93,2032,2026-05-13 08:10:44,False
383,2015,2023-10-11 08:01:59,False
9308,195,2026-01-13 11:34:26,False
4950,9,2026-01-22 18:13:09,True
2916,726,2026-01-10 08:08:17,False
1284,2082,2026-01-31 15:00:16,False
3537,1502,2025-07-11 01:12:03,True
3049,1133,2025-12-29 20:02:36,True
6615,15,2025-11-10 11:51:13,False
2349,1286,2025-04-02 09:19:13,True
6949,313,2025-02-05 22:37:26,True
2536,2171,2025-06-30 13:08:24,True
7974,301,2026-07-04 08:20:54,False
8158,66,2026-02-28 05:46:12,False
7475,628,2026-06-27 04:25:41,False
4686,808,2024-07-25 17:39:52,False
1945,2048,2023-11-26 01:45:36,True
7713,1815,2024-10-13 05:30:09,True
1876,672,2025-02-14 03:43:52,False
4165,101,2024-01-08 12:49:02,True
8707,1281,2026-07-06 04:43:10,False
5914,427,2026-03-15 03:50:30,False
9949,1439,2025-04-16 09:33:52,True
1945,1749,2025-08-27 14:04:52,False
9924,2444,2023-11-11 07:00:54,False
8743,961,2024-04-13 09:27:29,False
4076,233,2024-03-23 04:12:20,False
670,2355,2025-10-08 10:28:26,True
5328,1131,2023-10-11 14:22:23,True
2262,78,2025-06-08 23:17:15,False
873,1240,2024-08-25 10:23:01,True
1362,1211,2026-03-02 21:28:21,True
9272,52,2024-12-27 19:23:49,False
3543,950,2026-05-15 23:48:58,False
3879,632,2024-11-14 08:31:37,False
2158,635,2023-10-11 17:58:56,True
487,277,2023-09-05 22:20:41,True
8049,7,2026-04-08 13:39:52,True
6339,1651,2025-01-13 05:15:24,False
7895,2287,2026-05-02 22:05:11,False
9753,137,2025-02-03 00:24:28,True
4355,111,2026-01-07 13:47:46,False
695,2238,2024-02-06 20:03:07,True
4309,168,2026-04-02 16:52:21,False
4738,505,2023-09-18 01:57:51,True
975,1756,2024-03-14 10:49:54,False
923,831,2025-07-15 10:21:36,True
2976,2345,2025-02-09 19:44:59,False
9859,3,2025-10-19 21:33:33,True
8807,1587,2024-12-16 16:32:42,False
9834,223,2025-01-05 03:23:24,False
1981,1981,2025-11-02 15:50:42,False
3266,249,2025-05-12 07:46:15,False
5872,735,2024-06-02 00:42:35,False
8449,367,2025-07-01 13:54:19,False
8202,731,2024-05-11 13:33:17,False
2670,1448,2026-07-24 14:54:08,False
4685,589,2023-09-30 07:44:56,False
5600,1126,2025-08-17 04:15:17,False
6509,1955,2024-03-11 11:37:28,False
3969,176,2024-09-08 12:40:08,True
5450,318,2026-04-13 08:07:44,False
8294,603,2024-04-03 13:19:11,False
6570,1318,2023-12-24 14:35:30,True
9038,864,2024-01-03 14:21:59,True
8447,1645,2023-11-07 13:04:20,False
142,1187,2026-01-14 01:29:06,True
6598,2115,2025-11-01 04:19:03,True
9772,1028,2023-08-27 00:42:21,True
1571,99,2026-06-14 23:51:37,False
6258,1745,2026-05-27 05:44:31,False
9487,2083,2024-01-30 08:41:33,False
6722,2429,2026-03-17 22:15:20,False
5990,1128,2024-02-11 14:02:22,True
2386,835,2026-01-03 22:53:41,False
1669,1739,2025-11-22 06:49:13,True
5939,101,2023-08-16 18:14:16,True
2431,1307,2025-06-20 18:51:21,False
8866,643,2026-04-20 17:31:36,False
8174,1852,2026-05-20 09:36:01,True
5790,166,2025-04-13 13:28:15,True
1842,2533,2026-01-29 14:32:45,False
6980,146,2023-11-19 21:27:07,False
983,858,2026-05-07 16:33:54,False
5600,995,2026-03-26 03:09:07,False
9615,2384,2024-06-16 02:39:21,False
9614,2532,2024-11-07 15:11:19,False
2909,883,2026-06-09 21:30:17,False
6322,255,2023-12-23 11:09:06,False
3741,1940,2026-03-04 18:37:45,False
3838,2147,2024-02-29 09:42:19,False
4515,150,2025-12-16 06:14:46,False
3398,319,2024-11-17 15:44:51,False
6038,2390,2026-05-17 04:58:06,False
6421,1354,2024-10-01 11:19:42,False
8286,136,2024-04-02 16:59:40,False
6683,1530,2026-06-14 05:35:19,False
3507,1521,2026-01-24 00:36:47,False
1060,2502,2023-09-06 23:02:10,True
4584,112,2025-06-07 22:05:29,True
4679,191,2026-03-13 02:21:04,True
6655,2252,2023-10-17 12:53:01,True
9440,1991,2025-05-04 20:39:41,True
2882,114,2026-01-29 09:36:11,False
9984,827,2026-06-25 17:42:23,True
7818,428,2026-06-21 14:03:16,False
4381,1549,2024-10-29 07:56:32,False
4636,6,2024-07-03 08:26:12,False
4591,237,2023-08-31 03:58:33,True
4757,1809,2024-12-09 14:23:25,True
9274,651,2024-06-19 08:23:53,False
8435,2540,2024-07-29 01:08:23,False
7530,233,2025-12-24 16:16:25,False
3716,3,2023-12-30 17:58:07,False
1211,582,2025-05-10 22:27:39,False
7601,360,2024-03-01 22:46:18,True
3818,2317,2026-01-01 16:44:46,False
5459,465,2026-05-26 03:57:36,True
5251,1722,2024-03-28 12:04:45,True
9316,738,2025-07-16 09:40:37,True
3088,904,2025-06-05 13:19:37,False
32,2241,2025-12-08 08:07:21,False
6600,281,2023-11-17 21:06:39,True
6940,550,2025-10-05 21:45:45,False
7397,1316,2025-04-10 10:41:50,False
4947,1785,2025-03-12 06:34:38,False
2366,1206,2024-07-30 07:28:35,False
9467,1749,2025-10-09 17:58:31,True
7358,1006,2025-04-25 06:52:38,False
9810,192,2023-08-23 10:17:56,False
1183,863,2024-02-25 04:04:54,True
7531,1966,2026-02-23 23:38:34,False
259,1743,2024-04-30 21:35:48,True
4128,1247,2024-02-28 14:50:56,True
9176,1011,2025-04-25 21:46:27,False
5188,11,2025-04-28 13:18:00,False
9156,563,2025-08-15 14:53:55,True
1220,77,2023-12-04 00:15:21,False
9731,782,2026-07-14 17:16:38,False
2719,758,2023-10-08 15:42:33,False
896,2255,2026-03-08 09:31:47,True
9231,67,2024-05-27 04:45:31,False
9458,2185,2024-03-11 04:24:43,True
9218,2224,2023-11-12 01:14:29,False
8909,1953,2025-06-21 04:08:11,True
9093,2208,2026-05-25 08:31:48,True
7202,1006,2023-12-05 07:29:45,True
560,2434,2023-09-28 20:58:07,False
3794,2456,2024-10-07 18:49:38,False
6815,642,2025-06-30 01:41:58,False
8294,1790,2026-05-17 09:32:47,False
5283,1002,2026-01-01 20:34:17,False
7620,231,2025-11-24 08:43:32,True
2070,2512,2025-08-22 23:37:56,False
2652,1879,2025-09-17 10:04:43,False
4166,492,2024-06-20 08:06:24,False
3290,2525,2023-12-13 09:07:35,False
5727,1406,2025-12-23 14:44:00,False
1068,259,2026-07-21 02:21:11,False
8044,1308,2023-09-17 14:44:39,False
6991,324,2025-10-18 23:13:57,False
2821,356,2025-01-17 11:49:03,True
2449,1149,2023-08-20 13:09:38,True
2732,893,2025-06-11 01:03:04,False
913,412,2024-04-24 04:58:10,True
4230,1374,2025-05-09 03:53:47,True
3147,298,2026-03-19 03:29:44,False
7622,623,2024-04-26 21:58:27,True
3034,889,2024-12-01 01:58:51,False
5942,1404,2023-10-03 13:13:37,True
6924,1179,2025-06-21 10:29:32,False
8029,1253,2024-06-14 06:30:53,False
7221,1784,2026-06-03 14:07:02,False
4297,1560,2024-08-11 03:16:43,True
1683,374,2025-08-27 04:35:44,False
8440,1429,2025-01-15 10:10:33,True
9656,1000,2026-01-05 17:43:18,True
8867,643,2023-12-10 18:13:29,False
8119,2331,2025-03-29 09:36:53,False
2028,710,2026-04-29 11:45:43,False
4128,530,2024-10-26 22:38:33,False
3830,2009,2023-12-10 13:43:58,True
3219,1770,2024-01-14 17:06:14,True
3680,2418,2026-01-22 17:10:33,False
3548,470,2024-01-06 14:35:14,False
2467,1782,2023-11-25 16:19:43,True
5149,150,2025-04-01 22:08:58,False
5987,883,2024-08-05 02:46:45,False
966,2273,2025-10-26 13:39:05,False
3696,10,2024-06-16 15:12:36,True
3333,1311,2023-09-13 05:20:18,False
9656,23,2023-12-20 01:09:00,True
4693,653,2025-04-21 04:00:07,True
6083,2303,2024-11-16 19:53:33,True
749,2397,2025-10-04 22:58:40,True
7990,679,2025-08-29 02:16:51,True
975,138,2025-10-21 23:13:58,False
2618,585,2026-03-14 14:34:35,False
4588,603,2025-10-07 15:53:32,True
3112,245,2025-05-03 18:30:51,True
3187,67,2025-05-23 07:12:21,False
8054,2292,2024-02-25 12:25:45,False
9770,245,2025-11-03 07:48:14,False
1420,93,2025-02-24 17:07:36,False
1571,1182,2026-04-30 02:16:52,False
4363,824,2023-12-21 21:51:18,False
4858,692,2025-05-17 14:22:23,False
1325,1,2024-08-17 04:25:57,True
9713,559,2026-07-24 14:24:22,False
3789,1013,2025-09-03 03:25:14,True
5788,53,2025-11-21 04:47:18,False
4452,1327,2025-08-17 13:35:19,True
2947,42,2023-12-04 12:39:05,False
2806,1468,2024-11-22 03:49:55,True
134,501,2024-04-04 14:02:09,False
8701,2418,2024-05-02 05:23:54,False
3193,443,2023-10-30 15:14:12,False
1747,5,2024-11-11 11:14:26,False
5090,415,2023-08-06 22:53:49,True
8849,2192,2024-03-09 06:56:21,False
3780,1806,2026-02-15 11:47:14,False
4424,424,2023-12-20 13:08:56,False
955,1353,2025-12-28 06:49:25,False
8457,214,2024-05-31 23:08:55,False
6774,55,2025-05-24 22:25:04,False
9892,499,2024-11-29 07:40:53,False
1373,139,2023-07-29 03:17:46,True
2612,727,2026-03-27 10:55:51,False
2624,691,2023-10-19 01:49:36,False
6001,1332,2024-10-24 21:53:01,False
1981,536,2023-12-27 21:34:45,True
5292,1257,2025-04-02 18:57:49,False
1371,247,2025-06-19 23:06:07,False
6114,367,2026-04-27 23:14:09,False
8502,666,2026-05-22 23:15:21,False
4230,67,2025-06-27 09:43:24,False
950,2363,2024-09-04 05:53:40,True
7488,314,2024-07-31 06:46:30,False
8523,768,2024-06-17 05:55:04,False
6219,3,2025-07-02 21:04:44,True
7818,665,2023-12-13 10:15:19,True
3386,2233,2026-03-16 14:39:44,False
1555,1764,2023-12-31 11:54:49,True
9952,2385,2024-05-12 21:31:59,True
4723,357,2023-11-27 22:35:33,True
1409,809,2025-04-04 09:59:56,False
5290,1649,2024-08-26 19:57:33,True
399,385,2024-10-27 15:12:06,True
2266,447,2023-12-14 15:24:32,True
2257,311,2026-07-24 22:44:59,False
8277,1098,2026-07-03 07:11:43,True
2997,2060,2025-04-09 13:17:16,False
179,26,2024-12-01 01:15:22,False
2884,2045,2026-01-19 07:23:54,False
689,697,2024-07-28 21:41:44,True
503,673,2025-01-06 17:03:16,False
2196,1918,2026-05-22 01:16:41,False
2589,29,2025-09-06 10:23:03,False
4105,111,2025-03-16 06:01:13,True
3874,1290,2024-07-11 20:40:41,False
7423,1156,2025-01-14 04:52:42,True
2879,406,2025-11-11 01:32:13,False
4497,1425,2023-09-06 04:37:09,False
4982,1577,2023-11-30 09:40:49,False
4744,346,2026-01-30 23:25:46,False
2122,392,2025-06-21 07:31:57,False
4648,112,2025-03-14 22:40:31,False
1916,1992,2025-07-02 14:10:33,False
9132,1486,2025-02-24 14:45:13,True
3314,7,2024-10-06 03:34:35,True
8896,1847,2025-01-06 10:43:18,False
8562,1241,2025-07-12 08:17:38,False
8192,295,2024-03-24 18:55:27,False
7325,316,2025-08-03 04:55:49,False
885,408,2026-06-21 17:33:48,False
5685,71,2024-03-21 00:55:36,False
3283,916,2025-08-28 14:58:27,False
4162,1514,2024-01-11 13:00:33,False
6322,1943,2026-07-18 11:17:15,False
9660,11,2024-10-30 09:36:07,False
8229,1249,2023-07-29 11:44:36,False
6222,195,2023-07-28 00:54:32,False
7487,1410,2026-02-01 09:32:21,False
6143,1884,2024-08-06 02:51:32,True
5707,1494,2025-12-18 07:15:49,True
2635,1579,2025-02-03 04:44:32,False
5155,780,2025-06-24 08:27:46,True
6666,157,2025-03-26 14:17:31,True
2736,2103,2024-11-06 14:29:40,True
5250,1674,2024-06-17 19:46:57,False
385,799,2026-03-17 16:01:53,False
3745,2331,2023-09-14 11:05:55,False
7603,1838,2025-07-23 15:57:39,True
945,85,2024-09-05 11:15:19,False
4861,915,2024-10-10 23:35:19,True
3741,22,2025-04-08 18:46:15,False
4932,1066,2026-05-30 14:54:09,False
330,113,2026-07-15 20:10:44,False
65,806,2024-11-22 09:09:24,False
878,57,2025-11-13 19:34:07,False
5595,607,2023-09-29 18:08:00,False
3233,648,2025-10-11 10:06:29,False
1484,1563,2025-04-22 19:18:31,False
3724,283,2024-12-30 23:01:56,False
9486,306,2024-11-15 14:30:17,False
7280,1333,2023-12-04 16:29:26,True
9136,2025,2023-10-30 00:55:25,True
1345,962,2025-10-21 22:57:15,True
9209,1380,2023-08-15 10:59:07,False
5906,2,2024-12-26 21:25:09,False
6248,438,2024-11-20 05:54:40,False
7070,509,2024-12-13 04:13:53,False
8732,64,2026-02-25 12:47:02,False
8435,568,2024-08-17 04:01:35,True
9454,2098,2025-10-16 23:58:40,True
891,2408,2026-06-07 09:25:32,False
